ros_time,x,y,z,tsdf_points,homing
382,3.7593164447900738,5.924572349543551,1.7844947265648958,132852,0
389,5.827176073973086,1.3908181385238045,1.5270842075663533,132854,0
395,5.321275164506662,-0.476832113338055,2.1007071536215247,132861,0
403,5.195991061061673,5.597581697472175,2.640944669410914,134380,0
410,6.074637377479954,3.046965221910428,1.529207179872932,134419,0
417,2.6318647421444514,0.0009719132554863131,1.6288567601796915,134426,0
425,1.1071850742473268,-0.030644271082990233,1.5121743295323107,134492,0
432,6.029419886006142,2.058805503521033,1.6394341696968933,134496,0
439,4.513049343500685,6.046201174429476,1.6029713108438544,134498,0
446,-1.13701469795151,5.547287040673844,1.626412731130599,134536,1
453,4.201023291944507,5.334580290020281,1.7652075009235637,134551,1
459,3.3122255917706878,0.9833295289028582,1.5707550925786216,134555,1
467,0.4481509319115891,0.09268687564867209,1.2514941706416143,134557,1
473,0.44875558281443934,0.09290055210880416,1.2511747710760128,134557,1
480,0.44875560419997446,0.09290056061577585,1.2511743826245634,134557,1
487,0.44875560849871776,0.0929005630000414,1.2511744136306646,134557,1
