# R003 动作八 五态清单(提交一补正版;--verify-bound / --verify-current)
# worktree=. HEAD=0f46003be8918e3f2eac3ebd57e5b3d4e7575f9f files=1010
# category: ACTIVE_REFERENCE=263, ARCHIVE=88, CURRENT_AUTHORITY=1, FROZEN_EVIDENCE=69, THIRD_PARTY=589
# audit: THIRD_PARTY_UNVERIFIED=589, UNVERIFIED=421
path	lines	category	audit_status	review_commit	note
.gitattributes	8	ACTIVE_REFERENCE	UNVERIFIED	0f46003be891	-
.gitignore	15	ACTIVE_REFERENCE	UNVERIFIED	0f46003be891	-
CURRENT_STATUS.md	62	CURRENT_AUTHORITY	UNVERIFIED	0f46003be891	唯一当前状态入口(2026-07-16 治理令)
GBPlanner项目进展汇报.pptx	864	ACTIVE_REFERENCE	UNVERIFIED	0f46003be891	-
HANDOVER_LINUX.md	225	ACTIVE_REFERENCE	UNVERIFIED	0f46003be891	环境重建参考;其执行状态段=历史,已标 SUPERSEDED
README.md	82	ACTIVE_REFERENCE	UNVERIFIED	0f46003be891	入口指针,不承载状态
TASKS.md	27	ACTIVE_REFERENCE	UNVERIFIED	0f46003be891	任务队列专项事实源,状态以 CURRENT_STATUS 为准
archive/artifacts_sample_桥接期证据/exploration_summary.json	2329	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/artifacts_sample_桥接期证据/frontier_lite_决策代码_证据.py.tmpl	242	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/code_2D原型_gbplanner_gain/gbplanner_core/CMakeLists.txt	24	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/code_2D原型_gbplanner_gain/gbplanner_core/README.md	32	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/code_2D原型_gbplanner_gain/gbplanner_core/include/gbplanner_core/dense_voxel_map.hpp	71	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/code_2D原型_gbplanner_gain/gbplanner_core/include/gbplanner_core/exploration_planner.hpp	59	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/code_2D原型_gbplanner_gain/gbplanner_core/include/gbplanner_core/ray_caster.hpp	62	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/code_2D原型_gbplanner_gain/gbplanner_core/include/gbplanner_core/traversability_interface.hpp	15	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/code_2D原型_gbplanner_gain/gbplanner_core/include/gbplanner_core/types.hpp	24	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/code_2D原型_gbplanner_gain/gbplanner_core/include/gbplanner_core/voxel_map_interface.hpp	21	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/code_2D原型_gbplanner_gain/gbplanner_core/src/demo_main.cpp	30	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/code_2D原型_gbplanner_gain/gbplanner_core/src/exploration_demo.cpp	94	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/code_2D原型_gbplanner_gain/gbplanner_core/test/test_gain.cpp	40	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/gui_桥接期演示/maze_landmarks.md	81	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/gui_桥接期演示/results_panel.html	293	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/gui_桥接期演示/rviz_topic_map.md	131	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/gui_桥接期演示/世界一致性核查_2026-07-07.md	62	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/gui_桥接期演示/组会演示手册_2026-07-07.md	142	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/navlab_gbplanner_strategy.py	242	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/bridge_topics.yaml	45	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/check_output_gbp.py	64	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/cloud_z_probe.py	73	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/maze_geo_probe.py	37	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/pub_test_traj.py	37	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/ros1_cloud_z.py	26	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/stage4c_probe.py	128	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/stage5c_probe.py	156	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/sub_cmdvel_probe.py	30	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/sub_test_traj.py	20	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/sub_traj_z.py	23	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/takeoff_watch.py	33	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/thinbridge_ros1_side.py	191	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/thinbridge_ros2_side.py	194	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/traj_dryrun.py	81	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/trajectory_to_intent.py	156	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/trajectory_to_intent_stage4.py	331	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/ros1_bridge/wm_planner.launch	41	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
archive/integration_桥接线冻结/world-model-PR/ALL_my_worldmodel_code_changes.diff	577	ARCHIVE	UNVERIFIED	0f46003be891	历史归档,只读
